Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AMGN,AMGN,AMGN,AMGN,AMGN,AMGN
Date,,,,,,
2000-01-03,43.52114486694336,62.9375,70.0,62.875,70.0,22914900
2000-01-04,40.19329833984375,58.125,64.125,57.6875,62.0,15052600
2000-01-05,41.57630920410156,60.125,60.6875,58.25,59.1875,15071400
2000-01-06,42.267791748046875,61.125,61.9375,60.25,60.75,11118400
2000-01-07,47.021854400634766,68.0,68.5,62.625,62.75,15953900
2000-01-10,49.874290466308594,72.125,72.6875,69.5,69.5,10555300
2000-01-11,45.941375732421875,66.4375,72.375,64.125,72.0625,14103100
2000-01-12,43.95332336425781,63.5625,67.75,62.5625,67.625,11576800
2000-01-13,46.20069122314453,66.8125,67.75,63.8125,64.75,10552600
2000-01-14,47.23794937133789,68.3125,70.0,67.375,68.875,8971200
2000-01-18,47.75656509399414,69.0625,70.125,68.25,70.0,8658100
2000-01-19,49.787845611572266,72.0,72.9375,69.875,70.0,12070900
2000-01-20,49.65817642211914,71.8125,74.5,69.625,74.375,9460900
2000-01-21,51.64625549316406,74.6875,75.0,72.0,73.375,8154300
2000-01-24,47.88621139526367,69.25,76.5,69.125,75.875,9853500
2000-01-25,47.9726448059082,69.375,70.8125,66.0,70.75,11251900
2000-01-26,44.342288970947266,64.125,68.875,64.0625,67.875,16000800
2000-01-27,42.440673828125,61.375,65.0625,59.125,65.0,14797000
2000-01-28,41.273773193359375,59.6875,61.4375,59.375,61.4375,10899900
2000-01-31,44.03977584838867,63.6875,63.875,59.875,61.0,12619500
2000-02-01,45.1634407043457,65.3125,66.0,62.75,64.75,9902700
2000-02-02,44.03977584838867,63.6875,65.125,61.875,65.125,9976900
2000-02-03,44.255863189697266,64.0,65.0,62.375,64.75,7613000
2000-02-04,44.68804168701172,64.625,66.5,64.125,64.75,8069600
2000-02-07,47.8430061340332,69.1875,69.5625,65.125,66.5,9190200
2000-02-08,48.75059509277344,70.5,72.1875,69.1875,70.375,11108300
2000-02-09,46.20069122314453,66.8125,71.5,66.625,71.25,7774100
2000-02-10,45.07699966430664,65.1875,67.5,64.5,67.375,8880100
2000-02-11,43.305049896240234,62.625,66.3125,61.9375,65.3125,8105000
2000-02-14,44.990570068359375,65.0625,65.875,61.5,63.5625,8794600
2000-02-15,44.990570068359375,65.0625,65.75,64.1875,65.25,8358400
2000-02-16,48.31839370727539,69.875,70.0,64.75,65.125,11654800
2000-02-17,50.30646896362305,72.75,74.0,69.9375,70.1875,14842800
2000-02-18,49.31243896484375,71.3125,75.0,69.9375,74.5,14959700
2000-02-22,46.67609405517578,67.5,71.9375,66.375,71.6875,8657100
2000-02-23,49.39887619018555,71.4375,72.125,67.125,68.6875,9098600
2000-02-24,50.17680740356445,72.5625,73.1875,68.453125,72.125,9630100
2000-02-25,50.868309020996094,73.5625,74.0,70.125,73.0,8556500
2000-02-28,47.324378967285156,68.4375,72.875,66.5,72.875,13264800
2000-02-29,47.15150833129883,68.1875,70.5,67.125,70.25,8593500
2000-03-01,44.990570068359375,65.0625,67.25,64.8125,67.0,10212300
2000-03-02,45.1634407043457,65.3125,67.875,63.0,65.3125,12075000
2000-03-03,45.85494613647461,66.3125,67.875,65.0,66.875,10481000
2000-03-06,44.64481735229492,64.5625,66.875,63.3125,66.875,12645900
2000-03-07,42.181373596191406,61.0,65.5,60.5,65.4375,12739800
2000-03-08,42.440673828125,61.375,63.375,60.6875,63.0,15595000
2000-03-09,40.798362731933594,59.0,61.6875,58.875,61.5625,10935000
2000-03-10,41.18733215332031,59.5625,63.375,58.75,60.0,16043800
2000-03-13,40.10687255859375,58.0,60.25,58.0,58.1875,10081100
2000-03-14,36.1307487487793,52.25,60.0,51.0625,59.875,27589100
2000-03-15,40.45262145996094,58.5,59.375,56.0,57.1875,33529500
2000-03-16,44.774471282958984,64.75,65.5,61.125,62.5,18216200
2000-03-17,43.650794982910156,63.125,65.1875,62.1875,64.25,12260600
2000-03-20,40.10687255859375,58.0,62.375,56.9375,62.25,20278200
2000-03-21,42.267791748046875,61.125,61.5,55.125,58.125,16598600
2000-03-22,42.69998550415039,61.75,63.125,60.0,61.6875,11226000
2000-03-23,39.890769958496094,57.6875,58.5,56.8125,58.125,20064100
2000-03-24,37.72984313964844,54.5625,58.421875,52.75,58.25,21633800
2000-03-27,41.74917221069336,60.375,61.0,55.125,55.125,15924900
2000-03-28,43.4347038269043,62.8125,65.75,60.40625,61.25,18037600
2000-03-29,43.045738220214844,62.25,65.875,61.6875,64.9375,10524700
2000-03-30,41.662742614746094,60.25,64.3125,59.0,61.5625,9182700
2000-03-31,42.440673828125,61.375,63.0,59.625,61.625,7864600
2000-04-03,41.05767822265625,59.375,61.9375,58.125,61.0,6449800
2000-04-04,39.026405334472656,56.4375,60.125,53.8125,60.125,14755200
2000-04-05,41.23055648803711,59.625,62.25,56.0,56.3125,10977800
2000-04-06,43.08894729614258,62.3125,64.375,61.5,61.890625,10843500
2000-04-07,42.138153076171875,60.9375,64.375,60.25,63.4375,8580600
2000-04-10,40.711917877197266,58.875,63.75,58.75,62.0,9390100
2000-04-11,40.884803771972656,59.125,60.375,57.0,58.0,7586200
2000-04-12,40.376983642578125,58.390625,61.5,58.1875,60.125,7345800
2000-04-13,39.977210998535156,57.8125,61.375,56.5,59.5625,8131900
2000-04-14,36.47651290893555,52.75,58.0,52.125,56.6875,12667000
2000-04-17,36.908687591552734,53.375,54.25,50.0,52.375,12355900
2000-04-18,40.36619186401367,58.375,58.5,54.125,54.765625,9480500
2000-04-19,38.7238883972168,56.0,59.9375,55.25,58.4375,9010200
2000-04-20,37.34087371826172,54.0,57.25,53.1875,56.75,7848300
2000-04-24,35.48247146606445,51.3125,53.796875,50.0,53.3125,11779300
