Price,Adj Close,Close,High,Low,Open,Volume
Ticker,PG,PG,PG,PG,PG,PG
Date,,,,,,
2000-01-03,27.21318817138672,53.59375,53.96875,52.84375,53.90625,4275000
2000-01-04,26.689546585083008,52.5625,54.1875,51.875,53.1875,4270800
2000-01-05,26.181785583496094,51.5625,52.6875,51.25,52.4375,5098400
2000-01-06,27.38774299621582,53.9375,54.71875,52.53125,52.5625,6524200
2000-01-07,29.57748794555664,58.25,58.5,54.59375,54.78125,9832000
2000-01-10,29.434680938720703,57.96875,58.65625,57.1875,57.90625,6862000
2000-01-11,29.894845962524414,58.875,58.875,57.21875,57.6875,4421800
2000-01-12,29.704425811767578,58.5,59.1875,58.0625,58.3125,6231600
2000-01-13,29.196645736694336,57.5,58.5,57.28125,58.4375,5285200
2000-01-14,29.704425811767578,58.5,58.5,57.6875,57.75,4904400
2000-01-18,29.68857192993164,58.46875,59.0,58.03125,58.46875,4456800
2000-01-19,29.372236251831055,57.6875,58.0,56.78125,57.0,5553400
2000-01-20,28.6562442779541,56.28125,57.125,53.8125,57.0,10231800
2000-01-21,26.14223289489746,51.34375,56.3125,49.75,56.3125,24378800
2000-01-24,26.253637313842773,51.5625,54.4375,47.40625,48.0,28554600
2000-01-25,24.821617126464844,48.75,51.84375,48.5,51.8125,17097800
2000-01-26,25.617183685302734,50.3125,50.40625,49.40625,49.5,10243200
2000-01-27,26.49230194091797,52.03125,52.21875,50.59375,51.0,8989000
2000-01-28,25.537622451782227,50.15625,51.84375,49.6875,51.84375,9583400
2000-01-31,25.72856330871582,50.53125,50.5625,49.1875,50.125,4518200
2000-02-01,25.330778121948242,49.75,50.4375,49.375,50.34375,4044200
2000-02-02,25.108022689819336,49.3125,50.0,49.15625,49.875,3920800
2000-02-03,24.901168823242188,48.90625,49.90625,48.34375,49.90625,6259600
2000-02-04,24.12152862548828,47.375,48.84375,47.0,48.8125,7647800
2000-02-07,23.73964500427246,46.625,47.40625,46.28125,47.0,6464400
2000-02-08,24.376100540161133,47.875,47.9375,46.40625,47.0,6787800
2000-02-09,23.930587768554688,47.0,47.9375,46.875,47.625,6255800
2000-02-10,23.27820587158203,45.71875,47.34375,45.03125,46.875,5267800
2000-02-11,23.86693572998047,46.875,46.96875,45.65625,45.65625,5335000
2000-02-14,23.389596939086914,45.9375,46.90625,45.5,46.84375,5252200
2000-02-15,24.376100540161133,47.875,47.90625,46.0625,46.25,6864000
2000-02-16,23.942523956298828,47.0234375,48.125,46.5,47.90625,5314600
2000-02-17,23.97832489013672,47.09375,47.5,46.5,47.0,4682400
2000-02-18,23.839094161987305,46.8203125,47.21875,46.0,46.90625,4651600
2000-02-22,23.644180297851562,46.4375,46.71875,45.03125,46.15625,5226800
2000-02-23,23.07137680053711,45.3125,46.4375,45.0625,46.4375,5357000
2000-02-24,22.530385971069336,44.25,45.4375,43.28125,45.1875,7223200
2000-02-25,21.671175003051758,42.5625,44.5,42.5625,44.375,7177200
2000-02-28,22.498567581176758,44.1875,45.0,42.5,42.90625,7081600
2000-02-29,22.371280670166016,43.9375,44.9375,43.625,44.75,6661800
2000-03-01,22.466739654541016,44.125,44.34375,43.4375,44.0,4153600
