Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TRV,TRV,TRV,TRV,TRV,TRV
Date,,,,,,
2000-01-03,17.526620864868164,33.0,33.25,32.625,33.25,336400
2000-01-04,17.29425811767578,32.5625,33.0,32.1875,32.5,494400
2000-01-05,17.161479949951172,32.3125,33.3125,32.25,32.5625,736000
2000-01-06,17.493432998657227,32.9375,33.375,31.8125,32.3125,660400
2000-01-07,18.190502166748047,34.25,34.75,33.3125,33.4375,594700
2000-01-10,17.858562469482422,33.625,34.75,33.125,34.75,389900
2000-01-11,17.659391403198242,33.25,33.75,32.875,33.375,812900
2000-01-12,17.692590713500977,33.3125,33.625,32.75,33.0,561500
2000-01-13,18.05772590637207,34.0,34.1875,33.3125,33.3125,589600
2000-01-14,18.05772590637207,34.0,34.6875,33.625,33.9375,599300
2000-01-18,17.393848419189453,32.75,33.75,32.5,33.75,945900
2000-01-19,17.42702865600586,32.8125,33.25,32.375,32.5,988100
2000-01-20,17.327457427978516,32.625,32.8125,32.25,32.75,943400
2000-01-21,16.72995376586914,31.5,32.0625,31.0,32.0,1000300
2000-01-24,17.061893463134766,32.125,32.4375,31.3125,31.625,586500
2000-01-25,16.663570404052734,31.375,32.8125,31.25,32.125,609700
2000-01-26,17.19467544555664,32.375,32.4375,31.1875,31.4375,503300
2000-01-27,16.23204231262207,30.5625,32.375,29.8125,32.0,1316500
2000-01-28,15.933294296264648,30.0,30.1875,29.3125,30.0625,814900
2000-01-31,16.032878875732422,30.1875,30.1875,29.125,29.8125,612200
2000-02-01,15.568155288696289,29.3125,30.0,27.5,30.0,1023000
2000-02-02,14.804686546325684,27.875,29.375,27.5,29.375,1416900
2000-02-03,14.140800476074219,26.625,27.875,26.375,27.875,1374600
2000-02-04,14.207181930541992,26.75,27.1875,25.75,26.75,1507200
2000-02-07,14.140800476074219,26.625,27.0,26.25,26.75,1126800
2000-02-08,13.974821090698242,26.3125,26.8125,26.125,26.75,1073900
2000-02-09,13.510101318359375,25.4375,26.4375,25.3125,26.25,1127900
2000-02-10,13.012187957763672,24.5,25.25,24.1875,25.0,3271100
2000-02-11,12.945805549621582,24.375,24.75,23.75,24.5625,680900
2000-02-14,12.879415512084961,24.25,24.5625,24.0625,24.25,436300
2000-02-15,12.912607192993164,24.3125,24.625,24.1875,24.5,689700
2000-02-16,13.012187957763672,24.5,24.9375,24.3125,24.3125,1297000
2000-02-17,13.078573226928711,24.625,25.125,24.25,24.875,562200
2000-02-18,12.547472953796387,23.625,24.6875,23.125,24.5625,529900
2000-02-22,12.680248260498047,23.875,24.5,23.0625,23.625,966400
2000-02-23,12.613853454589844,23.75,24.125,23.5,23.75,1101500
2000-02-24,12.08275032043457,22.75,23.75,22.25,23.625,803000
2000-02-25,12.149142265319824,22.875,23.75,22.8125,23.5,545200
2000-02-28,12.2487154006958,23.0625,23.625,23.0625,23.1875,971800
